# Constructed from biom file
#OTU ID	BAQ2420.1.1	BAQ2420.1.2	BAQ2420.1.3	BAQ2420.2	BAQ2420.3	BAQ2462.1	BAQ2462.2	BAQ2462.3	BAQ2687.1	BAQ2687.2	BAQ2687.3	BAQ2838.1	BAQ2838.2	BAQ2838.3	BAQ3473.1	BAQ3473.2	BAQ3473.3	BAQ4166.1.1	BAQ4166.1.2	BAQ4166.1.3	BAQ4166.2	BAQ4166.3	BAQ4697.1	BAQ4697.2	BAQ4697.3	YUN1005.1.1	YUN1005.3	YUN1242.1	YUN1242.3	YUN1609.1	YUN2029.2	YUN3153.2	YUN3153.3	YUN3259.1.1	YUN3259.1.2	YUN3259.1.3	YUN3259.2	YUN3259.3	YUN3346.1	YUN3346.2	YUN3346.3	YUN3428.1	YUN3428.2	YUN3428.3	YUN3533.1.1	YUN3533.1.2	YUN3533.1.3	YUN3533.2	YUN3533.3	YUN3856.1.1	YUN3856.1.2	YUN3856.1.3	YUN3856.2	YUN3856.3
409faa5f5353e543bf6d99125c7c0e83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	81.0	0.0	64.0	26.0	0.0	96.0	175.0	54.0	122.0	0.0	571.0	0.0	130.0	0.0
1237d5925a7176fced9dda961a86c684	0.0	0.0	13.0	103.0	0.0	71.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	67.0	976.0	88.0	0.0	0.0	0.0	0.0	0.0
a7b877ae6d2f079a15b6b192a4425620	0.0	0.0	20.0	35.0	38.0	53.0	18.0	74.0	0.0	0.0	0.0	57.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	151.0	726.0	0.0	0.0	0.0	3.0	25.0	0.0	20.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
a36b38f754f6abd278aeb9dbc7696343	110.0	0.0	0.0	0.0	48.0	0.0	0.0	70.0	0.0	82.0	0.0	0.0	100.0	86.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	111.0	0.0	254.0	81.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0
96cbccca68ad868a78bb0604e4a41cf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	34.0	209.0	297.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	45.0	29.0	60.0	59.0	0.0	0.0	0.0	0.0	0.0
ffd60d684f32e6fd5b47fe90095f9d34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	77.0	0.0	0.0	0.0	0.0	0.0	222.0	42.0	198.0	0.0	90.0	0.0	0.0	0.0	113.0	34.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	38.0	47.0	0.0	0.0
11f7b172e09b77715d3bb2175a40b409	0.0	14.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	82.0	0.0	127.0	301.0	28.0	86.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1694836fc379411d2b9aa087d68d571b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276.0	99.0	323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	87.0
ef3fdbe1dcde754d91130cde6a4b4d61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	38.0	0.0	31.0	39.0	90.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	39.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	49.0	0.0	47.0	58.0	28.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	43.0	0.0	78.0	0.0
c434ee7f909f455fc2109ef1f741a2d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.0	51.0	0.0	0.0	0.0	254.0	0.0	0.0	0.0	0.0
