variable	R2_individual	R2_combinado	F_combinado	p_valor_combinado	suma_R2_individuales	n	n_permutaciones
humedad_relativa	0.0497848932706288	0.1286962559216407	2.3140510487592296	0.001	0.15768995580200879	51	999
temperatura	0.05769792107148126	0.1286962559216407	2.3140510487592296	0.001	0.15768995580200879	51	999
elevacion	0.05020714145989874	0.1286962559216407	2.3140510487592296	0.001	0.15768995580200879	51	999
