metrica	variable_x	spearman_rho	p_valor_spearman	r2_lineal	p_valor_lineal	n
riqueza	average-soil-relative-humidity	0.4876375789433288	0.0002839884875846902	0.20232763620348457	0.0009277428380776042	51
shannon	average-soil-relative-humidity	0.4686069574662047	0.0005240050611790489	0.21245271463867382	0.0006643821046105412	51
simpson	average-soil-relative-humidity	0.4099457582650842	0.0028123513152729256	0.10715986896705608	0.019036140443826937	51
pielou	average-soil-relative-humidity	0.4504488360688059	0.0009103463193296874	0.2561424240871848	0.00015131025336124538	51
