variable	coeficiente	error_estandar	p_valor
const	2.793958826715405	1.2545326014982192	0.02594116272421932
humedad_relativa	0.009421733536385563	0.005936020803085664	0.11246425317245583
temperatura	-0.01918520413290166	0.037780618995825736	0.6115897891580686
elevacion	-7.291861303123585e-05	0.00031537172887199867	0.8171479282898887
R2_glm	0.2187359181347981		
