metrica	valor
n	51.0
pendiente	0.009957478161518438
intercepto	2.227769162344191
R2_lineal	0.21245271463867405
p_valor_lineal	0.0006643821046105372
rho_spearman	0.4686069574662047
p_valor_spearman	0.0005240050611790483
