termino	Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	6.75798005325343	1.50597512629358	4.48744466974419	4.78699389988529e-05
avg_soil_rh	0.0173556418821971	0.00549182395818359	3.16026915908963	0.00278487275739518
temperature	-0.139482105998685	0.0443004517176429	-3.14854816577717	0.00287816330674658
elevation	-0.000941467648104969	0.000347802497924637	-2.70690306631717	0.00949510398046078
