transecto	media	mediana	minimo	maximo	n
Baquedano	3.1832516431854883	3.2204825680315503	2.2340112070394094	3.767430580195184	25
Yungay	2.868598448349823	2.9292172251418633	1.2555422287406146	3.9337054980031603	29
