termino	F	R2	p_valor	n_permutaciones	n
modelo completo (las 3 variables)	2.314051048446078	0.12869625590646608	0.001	999	51
temperatura	2.372989388901805	0.043991373175412116	0.001	999	51
humedad_relativa	1.8473683921247266	0.03424721269741119	0.001	999	51
elevacion	1.7839672981205732	0.0330718592806996	0.001	999	51
