variable	columna_original	F	R2	p_valor	n_permutaciones	n
temperatura	average-soil-temperature	3.000309768728773	0.05769792107148288	0.001	999	51
elevacion	elevation	2.930490395285789	0.05334906668769313	0.001	999	54
humedad_relativa	average-soil-relative-humidity	2.5672710873405276	0.049784893270622924	0.001	999	51
