variable	R2_marginal	F_marginal	p_valor
humedad_relativa	0.03424721270935617	1.8473683927851543	0.001
temperatura	0.04399137318323172	2.372989389344279	0.001
elevacion	0.03307185928839357	1.7839672985511403	0.001
